# antseal — GitHub Actions pin ledger. Authority for scripts/check-action-pins.py.
# Decision: docs/decisions/D143-third-party-action-pinning-and-renewal.md
# OWNER: the maintainer (aed900). CADENCE: 90 days. See D143 §2 R7.
# Re-resolve with:  gh api repos/<owner>/<action>/commits/<tag>   (peels annotated tags — D143 §1.7)
# SCOPE: the `uses:` lines of workflow FILES in .github/workflows/, and nothing else (D143 §2 R1).
#   GitHub-managed dynamic workflows (CodeQL default setup, the dependency graph) are OUT OF SCOPE:
#   they resolve their actions by tag at run time, and that exposure, D143's adversary A2, is
#   ACCEPTED and not absent, by D169 §2 R4, which names the triggers that reopen it.
# action	sha	version	tier	invocations	resolved_utc	next_review_utc
actions/checkout	11d5960a326750d5838078e36cf38b85af677262	v4.4.0	github-owned	24	2026-08-18	2026-11-16
Swatinem/rust-cache	6323deb102c322ba6fcbdcafc7e3dddab59af2b6	v2.9.2	third-party	20	2026-08-18	2026-11-16
actions/upload-artifact	ea165f8d65b6e75b540449e92b4886f43607fa02	v4.6.2	github-owned	5	2026-08-18	2026-11-16
actions/cache	0057852bfaa89a56745cba8c7296529d2fc39830	v4.3.0	github-owned	5	2026-08-18	2026-11-16
actions/setup-python	a26af69be951a213d495a4c3e4e4022e16d87065	v5.6.0	github-owned	1	2026-08-18	2026-11-16
actions/configure-pages	45bfe0192ca1faeb007ade9deae92b16b8254a0d	v6.0.0	github-owned	1	2026-09-13	2026-12-12
actions/upload-pages-artifact	fc324d3547104276b827a68afc52ff2a11cc49c9	v5.0.0	github-owned	1	2026-09-13	2026-12-12
actions/deploy-pages	368f82528645a54fb793d4d04e342629a3f51346	v5.0.1	github-owned	1	2026-09-13	2026-12-12
foundry-rs/foundry-toolchain	908c540300062bd5a7e473851cdb4282204cee09	v1.9.1	third-party	1	2026-08-18	2026-11-16
# RESIDUAL — transitive references this repository cannot pin, D143 §1.6.
